Stasiun;Tutupan;X;Y
1.1.1.Pasir;Pasir;120.445.002;-5.607.680
1.1.2.Pasir;Pasir;120.445.022;-5.607.680
1.1.3.Pasir;Pasir;120.445.051;-5.607.680
1.1.4.Pasir;Pasir;120.444.999;-5.607.698
1.1.5.Pasir;Pasir;120.445.023;-5.607.696
1.1.6.Pasir;Pasir;120.445.050;-5.607.698
1.1.7.Pasir;Pasir;120.444.999;-5.607.721
1.1.8.Pasir;Pasir;120.445.024;-5.607.724
1.1.9.Pasir;Pasir;120.445.051;-5.607.723
1.2.1.Lamun;Lamun;120.444.957;-5.608.012
1.2.2.Lamun;Lamun;120.444.998;-5.608.015
1.2.3.Lamun;Lamun;120.445.041;-5.608.014
1.2.4.Lamun;Lamun;120.445.043;-5.608.058
1.2.5.Lamun;Lamun;120.445.003;-5.608.057
1.2.6.Lamun;Lamun;120.444.958;-5.608.058
1.2.7.Lamun;Lamun;120.444.957;-5.608.095
1.2.8.Lamun;Lamun;120.445.000;-5.608.096
1.2.9.Lamun;Lamun;120.445.041;-5.608.098
1.3.1.Lamun;Lamun;120.444.953;-5.608.190
1.3.2.Lamun;Lamun;120.444.999;-5.608.190
1.3.3.Lamun;Lamun;120.445.042;-5.608.190
1.3.4.Lamun;Lamun;120.445.044;-5.608.232
1.3.5.Lamun;Lamun;120.445.000;-5.608.232
1.3.6.Lamun;Lamun;120.444.954;-5.608.232
1.3.7.Lamun;Lamun;120.444.954;-5.608.275
1.3.8.Lamun;Lamun;120.445.001;-5.608.275
1.3.9.Lamun;Lamun;120.445.042;-5.608.278
1.4.1.Lamun;Lamun;120.444.864;-5.608.625
1.4.2.Lamun;Lamun;120.444.906;-5.608.626
1.4.3.Lamun;Lamun;120.444.950;-5.608.626
1.4.4.Lamun;Lamun;120.444.949;-5.608.673
1.4.5.Lamun;Lamun;120.444.908;-5.608.671
1.4.6.Lamun;Lamun;120.444.865;-5.608.671
1.4.7.Lamun;Lamun;120.444.868;-5.608.712
1.4.8.Lamun;Lamun;120.444.910;-5.608.713
1.4.9.Lamun;Lamun;120.444.950;-5.608.714
1.5.1.Koral;Koral;120.444.862;-5.608.950
1.5.2.Koral;Koral;120.444.893;-5.608.947
1.5.3.Koral;Koral;120.444.918;-5.608.947
