Pixel_ID,Row,Col,Area,B1(Coastal Aerosol),B2(Blue),B3(Green),B4(Red),B5(NIR),B6(SWIR1),B7(SWIR2),B8(NDVI),B9(MNDWI),B10(NDWI),B11(EVI),B12(SABI),B13(GNDVI),B14(NDAVI),B15(AWEI),B16(BATHYMETRY),Label,Kategori_Detail,Kategori,Prediksi_Kelas,Prediksi_Label,Confidence_Lamun,Confidence_NonLamun,Confidence_Max
1,0,0,Lainnya,0.0116950003430247,0.0176075007766485,0.0480775013566017,0.0284425001591444,0.3762350082397461,0.1396799981594085,0.056327499449253,0.8560103178024292,-0.4917174279689789,-0.7585157155990601,0.6220062971115112,4801613807678220.0,0.7585157155990601,0.9059522747993468,-0.6019287705421448,0.3587692975997925,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.37,0.63,0.63
2,0,1,Lainnya,0.0141425002366304,0.0188999995589256,0.0493424981832504,0.0304224994033575,0.3720549941062927,0.1461700052022934,0.0580050013959407,0.8520561456680298,-0.4933592081069946,-0.7651655673980713,0.6266775727272034,4935537815093990.0,0.7651655673980713,0.902820348739624,-0.6419618725776672,0.3735916316509247,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.37,0.63,0.63
3,0,2,Lainnya,0.0171399991959333,0.021196249872446,0.0535775013267993,0.0370225012302398,0.375038743019104,0.1559049934148788,0.0654162466526031,0.8232308030128479,-0.4874491989612579,-0.7413862347602844,0.5839258432388306,4.3035454750061e+16,0.7413862347602844,0.8898550868034363,-0.6751371622085571,0.3882970809936523,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.37,0.63,0.63
4,0,3,Lainnya,0.0173875000327825,0.0241662506014108,0.0585274994373321,0.0414912514388561,0.3703775107860565,0.1748662441968917,0.0773237496614456,0.8127755522727966,-0.5055122971534729,-0.7235791087150574,0.5977743864059448,3.84637308120727e+16,0.7235791087150574,0.8723551630973816,-0.7613359093666077,0.4075223207473755,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.35,0.65,0.65
5,0,4,Lainnya,0.0182262491434812,0.0241662506014108,0.0560249984264373,0.0430862493813037,0.3360437452793121,0.1853024959564209,0.084817498922348,0.7755909562110901,-0.5357885956764221,-0.7013562917709351,0.5341344475746155,3.35893297195434e+16,0.7013562917709351,0.8513893485069275,-0.8293881416320801,0.4237863719463348,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.33,0.67,0.67
6,0,5,Lainnya,0.0233824998140335,0.0306837502866983,0.0610850006341934,0.0571662485599517,0.3326475024223327,0.2197874933481216,0.1081375032663345,0.6893276572227478,-0.5517217516899109,-0.6534146666526794,0.4564186036586761,2572059392929070.0,0.6534146666526794,0.8096240758895874,-1.00365567207336e+16,0.4785914719104767,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.3,0.7,0.7
7,0,6,Lainnya,0.0268200002610683,0.0405974984169006,0.0715349987149238,0.0762237533926963,0.3284262418746948,0.2430800050497055,0.1293675005435943,0.6120548844337463,-0.5451543927192688,-0.6222231388092041,0.4218861162662506,205834698677063.0,0.6222231388092041,0.7737933993339539,-1.11556005477905e+16,0.5216819047927856,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.26,0.74,0.74
8,0,7,Lainnya,0.0361699983477592,0.049040000885725,0.0803349986672401,0.0883100032806396,0.3232424855232239,0.2365899980068206,0.1371774971485138,0.5847459435462952,-0.4930346310138702,-0.5876201391220093,0.4147710502147674,1.80774819850921e+16,0.5876201391220093,0.7459462285041809,-1.0714293718338e+16,0.5480397343635559,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.24,0.76,0.76
9,0,8,Lainnya,0.0348775014281272,0.0467300005257129,0.0847624987363815,0.0911424979567527,0.3269824981689453,0.1957799941301345,0.1235925033688545,0.58552485704422,-0.4392412602901459,-0.5997063517570496,0.4262231886386871,1.87264621257781e+16,0.5997063517570496,0.7523024678230286,-0.8518487215042114,0.5585995316505432,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.23,0.77,0.77
10,0,9,Lainnya,0.0289650000631809,0.0351524986326694,0.0606449991464614,0.0569325014948844,0.3300625085830688,0.1649525016546249,0.0831950008869171,0.6641046404838562,-0.462361067533493,-0.6443653106689453,0.4935961961746216,2495635986328120.0,0.6443653106689453,0.807496964931488,-0.7258849740028381,0.561952531337738,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.265,0.735,0.735
