Pixel_ID,Row,Col,Area,B1(Coastal Aerosol (B1)),B2(Blue (B2)),B3(Green (B3)),B4(Red (B4)),B5(RE1 (B5)),B6(RE2 (B6)),B7(RE3 (B7)),B8(NIR (B8)),B9(RE4 (B8A)),B10(Water Vapor (B9)),B11(SWIR1 (B11)),B12(SWIR2 (B12)),B13(NDVI),B14(MNDWI),B15(NDWI),B16(EVI),B17(SABI),B18(GNDVI),B19(NDAVI),B20(AWEI),B21(BATHYMETRY),Label,Kategori_Detail,Kategori,Prediksi_Kelas,Prediksi_Label,Confidence_Lamun,Confidence_NonLamun,Confidence_Max
1,0,0,Lainnya,0.025000000372529,0.0274000000208616,0.0526000000536441,0.0271000005304813,0.1022000014781951,0.2727999985218048,0.3305000066757202,0.3607999980449676,0.3702000081539154,0.3700000047683716,0.1653999984264373,0.0716999992728233,0.8380165100097656,-0.4772036671638489,-0.7311249375343323,0.6192110776901245,3.95488715171813e+16,0.7311249375343323,0.8629629611968994,-0.734375,0.5325443744659424,0,Perairan,Non_Lamun,0,Non_Lamun,0.01,0.99,0.99
2,0,1,Lainnya,0.0260000005364418,0.0284000001847744,0.0513999983668327,0.0288999993354082,0.100100003182888,0.2804000079631805,0.3359000086784363,0.363999992609024,0.3702000081539154,0.3709000051021576,0.1653999984264373,0.0716999992728233,0.8429774641990662,-0.4760051667690277,-0.7194928526878357,0.6242366433143616,3.71055078506469e+16,0.7194928526878357,0.8495631814002991,-0.7367749810218811,0.5430809259414673,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.01,0.99,0.99
3,0,2,Lainnya,0.0260000005364418,0.0292000006884336,0.0542999990284442,0.0318000018596649,0.1063999980688095,0.2840000092983246,0.3418000042438507,0.3628000020980835,0.3772999942302704,0.3709000051021576,0.1655000001192093,0.0723000019788742,0.821265459060669,-0.4766265153884887,-0.7323907017707825,0.6235229969024658,3.8796842098236e+16,0.7323907017707825,0.853512704372406,-0.7208500504493713,0.5117540955543518,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.01,0.99,0.99
4,0,3,Lainnya,0.0260000005364418,0.0286999996751546,0.0537000000476837,0.0307000000029802,0.1080999970436096,0.2849999964237213,0.3418000042438507,0.36039999127388,0.3772999942302704,0.3709000051021576,0.1689999997615814,0.0725999996066093,0.8340611457824707,-0.4872191846370697,-0.7366622686386108,0.5537921786308289,40873122215271.0,0.7366622686386108,0.8628485202789307,-0.7327500581741333,0.5363457798957825,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.01,0.99,0.99
5,0,4,Lainnya,0.0260000005364418,0.0294000003486871,0.0533000007271766,0.0313999988138675,0.1106999963521957,0.2863999903202057,0.3443000018596649,0.36039999127388,0.3813000023365021,0.3709000051021576,0.1712000072002411,0.0740000009536743,0.8254585862159729,-0.487294465303421,-0.719197690486908,0.6240078806877136,3773824453353880.0,0.719197690486908,0.850429117679596,-0.7508000135421753,0.5495495796203613,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.01,0.99,0.99
6,0,5,Lainnya,0.0260000005364418,0.0297999996691942,0.0557000003755092,0.0333000011742115,0.1137999966740608,0.2865000069141388,0.3461000025272369,0.3643999993801117,0.3837000131607055,0.3709000051021576,0.1768999993801117,0.0766000002622604,0.8160237669944763,-0.4748603403568268,-0.7149099111557007,0.6163684129714966,3650557518005370.0,0.7149099111557007,0.848739504814148,-0.7455999851226807,0.548872172832489,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.01,0.99,0.99
7,0,6,Lainnya,0.0260000005364418,0.0318999998271465,0.0604000017046928,0.0379999987781047,0.1174999997019767,0.2865000069141388,0.3450999855995178,0.3632000088691711,0.3808999955654144,0.3677000105381012,0.1814000010490417,0.0822999998927116,0.8060683012008667,-0.4648018777370453,-0.6973947882652283,0.5930037498474121,3450610399246210.0,0.6973947882652283,0.8395721912384033,-0.7568749785423279,0.5348189473152161,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.01,0.99,0.99
8,0,7,Lainnya,0.0262000001966953,0.0322000011801719,0.061999998986721,0.0456000007688999,0.1203000023961067,0.2845999896526336,0.3332999944686889,0.3508000075817108,0.3763999938964844,0.3553999960422516,0.1914000064134597,0.0869999974966049,0.7727517485618591,-0.4721108078956604,-0.6827438473701477,0.563187837600708,3080139398574820.0,0.6827438473701477,0.8337689638137817,-0.7624000310897827,0.5420875549316406,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.01,0.99,0.99
9,0,8,Lainnya,0.0262000001966953,0.0313999988138675,0.0626000016927719,0.0494000017642974,0.1251000016927719,0.2825999855995178,0.3287000060081482,0.3391999900341034,0.366100013256073,0.3553999960422516,0.1985000073909759,0.0947000011801719,0.7694074511528015,-0.474807858467102,-0.6763030290603638,0.5760305523872375,2909586191177360.0,0.6763030290603638,0.8183894753456116,-0.8284749984741211,0.514800488948822,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.01,0.99,0.99
10,0,9,Lainnya,0.0262000001966953,0.0313000008463859,0.0688999965786933,0.0474999994039535,0.130400002002716,0.2874999940395355,0.3233000040054321,0.3443999886512756,0.3617999851703644,0.3553999960422516,0.2137999981641769,0.099600002169609,0.7574591040611267,-0.492000013589859,-0.6718913316726685,0.5623471736907959,2887892246246330.0,0.6718913316726685,0.826359212398529,-0.876675009727478,0.4980340600013733,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.01,0.99,0.99
11,0,10,Lainnya,0.0262000001966953,0.0318000018596649,0.0692000016570091,0.0496999993920326,0.1293999999761581,0.2766000032424927,0.3170999884605407,0.3343999981880188,0.3610000014305115,0.3553999960422516,0.2185000032186508,0.1036999970674514,0.7361419200897217,-0.4983628094196319,-0.6609119176864624,0.5277419686317444,2643923282623290.0,0.6609119176864624,0.8183894753456116,-0.8738749623298645,0.5174050331115723,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.01,0.99,0.99
12,0,11,Lainnya,0.0262000001966953,0.0357000008225441,0.0697999969124794,0.0533999986946582,0.1293999999761581,0.2585999965667724,0.2998000085353851,0.3208000063896179,0.3314999938011169,0.3553999960422516,0.2229000031948089,0.1080999970436096,0.6851415038108826,-0.5053833723068237,-0.6307206749916077,0.4836729168891907,2.20600414276123e+16,0.6307206749916077,0.7860465049743652,-0.9050499796867372,0.5392953753471375,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.01,0.99,0.99
13,0,12,Lainnya,0.0322999991476535,0.0361000001430511,0.069300003349781,0.0584000013768672,0.1289999932050705,0.2585999965667724,0.2901000082492828,0.2933999896049499,0.3246999979019165,0.3501000106334686,0.2251999974250793,0.1133000031113624,0.6353919506072998,-0.5260300636291504,-0.6182370781898499,0.457088828086853,2.19382333755493e+16,0.6182370781898499,0.7724719047546387,-0.8984999656677246,0.5690235495567322,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.01,0.99,0.99
14,0,13,Lainnya,0.0331000015139579,0.0351000018417835,0.0586999990046024,0.0584000013768672,0.1266999989748001,0.2317000031471252,0.2741999924182892,0.2786000072956085,0.306300014257431,0.3235999941825866,0.2259999960660934,0.1225000023841857,0.6261047124862671,-0.5485407710075378,-0.613545835018158,0.4419535100460052,2048943281173700.0,0.613545835018158,0.7673965692520142,-0.9701249599456788,0.5787671208381653,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.01,0.99,0.99
15,0,14,Lainnya,0.0331000015139579,0.0421000011265277,0.0697999969124794,0.065700002014637,0.1362999975681305,0.2238000035285949,0.2630999982357025,0.2912000119686126,0.3027999997138977,0.3235999941825866,0.2290000021457672,0.1261000037193298,0.5813953876495361,-0.5357353687286377,-0.5884854197502136,0.4748061895370483,1.73609793186187e+16,0.5884854197502136,0.7245346903800964,-0.9895750284194946,0.6223241090774536,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.01,0.99,0.99
16,0,15,Lainnya,0.0331000015139579,0.047699999064207,0.0741999968886375,0.0776000022888183,0.1416999995708465,0.2224999964237213,0.2587000131607055,0.2635999917984009,0.2989999949932098,0.3235999941825866,0.2419999986886978,0.138600006699562,0.5391923785209656,-0.5740072131156921,-0.5433164834976196,0.401452898979187,1.37263798713684e+16,0.5433164834976196,0.6649104356765747,-1.15804994106292e+16,0.648097813129425,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.01,0.99,0.99
17,0,16,Lainnya,0.0331000015139579,0.0549000017344951,0.0785999968647956,0.0856000036001205,0.1456000059843063,0.2243999987840652,0.258899986743927,0.2705999910831451,0.3043000102043152,0.3235999941825866,0.2556999921798706,0.1469999998807907,0.513853907585144,-0.5375351309776306,-0.542890727519989,0.3504210710525512,1.18851435184478e+16,0.542890727519989,0.6454066634178162,-1.16065001487731e+16,0.6934460997581482,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.01,0.99,0.99
18,0,17,Lainnya,0.0331000015139579,0.0631999969482421,0.0839999988675117,0.0962999984622001,0.1580000072717666,0.2267999947071075,0.264299988746643,0.2946000099182129,0.3077999949455261,0.3235999941825866,0.2788000106811523,0.1546999961137771,0.525607705116272,-0.5041221380233765,-0.5391849279403687,0.3867110013961792,1280180811882010.0,0.5391849279403687,0.6312263607978821,-1.25357496738433e+16,0.7231526970863342,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.01,0.99,0.99
