Feature,DisplayName,Importance
B16(BATHYMETRY),B16(BATHYMETRY),0.1950049858764147
B12(SABI),B12(SABI),0.13192453282922004
B11(EVI),B11(EVI),0.10883214479551884
B8(NDVI),B8(NDVI),0.08906207243497964
B15(AWEI),B15(AWEI),0.08082795963996793
B9(MNDWI),B9(MNDWI),0.07292170238254878
B4(Red),B4(Red),0.047173742114733054
B2(Blue),B2(Blue),0.04559536861663519
B13(GNDVI),B13(GNDVI),0.04222238413320482
B10(NDWI),B10(NDWI),0.04173754877538254
B3(Green),B3(Green),0.03596011441974142
B1(Coastal Aerosol),B1(Coastal Aerosol),0.03192460563744066
B5(NIR),B5(NIR),0.027531885714646168
B14(NDAVI),B14(NDAVI),0.02156656584091903
B6(SWIR1),B6(SWIR1),0.0198856686560971
B7(SWIR2),B7(SWIR2),0.00782871813254994
