Feature,DisplayName,Importance
B3(Green (B3)),B3(Green (B3)),0.24539053588268112
B1(Coastal Aerosol (B1)),B1(Coastal Aerosol (B1)),0.15671029708114603
B2(Blue (B2)),B2(Blue (B2)),0.11103042441537758
B5(RE1 (B5)),B5(RE1 (B5)),0.11022563566226229
B10(Water Vapor (B9)),B10(Water Vapor (B9)),0.10932381450503996
B9(RE4 (B8A)),B9(RE4 (B8A)),0.06964133811593685
B4(Red (B4)),B4(Red (B4)),0.05295734932214348
B6(RE2 (B6)),B6(RE2 (B6)),0.03888002107712491
B7(RE3 (B7)),B7(RE3 (B7)),0.037158951568497904
B8(NIR (B8)),B8(NIR (B8)),0.03179982472048246
B12(SWIR2 (B12)),B12(SWIR2 (B12)),0.0200861513570225
B11(SWIR1 (B11)),B11(SWIR1 (B11)),0.016795656292285074
