Feature,DisplayName,Importance
B15(NDWI),B15(NDWI),0.1392550826501078
B18(GNDVI),B18(GNDVI),0.12397509651338513
B16(EVI),B16(EVI),0.09855892574761665
B14(MNDWI),B14(MNDWI),0.08320140178925094
B20(AWEI),B20(AWEI),0.07291831409591101
B13(NDVI),B13(NDVI),0.07266155946355085
B3(Green (B3)),B3(Green (B3)),0.05683441674444871
B5(RE1 (B5)),B5(RE1 (B5)),0.051989803936064005
B1(Coastal Aerosol (B1)),B1(Coastal Aerosol (B1)),0.03865895618981965
B2(Blue (B2)),B2(Blue (B2)),0.03818577777806722
B6(RE2 (B6)),B6(RE2 (B6)),0.037945566461186506
B9(RE4 (B8A)),B9(RE4 (B8A)),0.0337048055084123
B17(SABI),B17(SABI),0.03082636565555714
B10(Water Vapor (B9)),B10(Water Vapor (B9)),0.0298170715696074
B4(Red (B4)),B4(Red (B4)),0.024598880493676634
B8(NIR (B8)),B8(NIR (B8)),0.023734115865206764
B7(RE3 (B7)),B7(RE3 (B7)),0.018952724660956558
B19(NDAVI),B19(NDAVI),0.008390181620102142
B11(SWIR1 (B11)),B11(SWIR1 (B11)),0.007679210479506487
B12(SWIR2 (B12)),B12(SWIR2 (B12)),0.006372932683626059
B21(BATHYMETRY),B21(BATHYMETRY),0.0017388100939399556
